iter	Logloss
0	0.5381778946
1	0.4465808976
2	0.3812808474
3	0.3382695372
4	0.3102356762
5	0.290517145
6	0.2781091835
7	0.2689153147
8	0.2604574344
9	0.2553476166
10	0.2503886557
11	0.2466050553
12	0.2437104845
13	0.2419370127
14	0.2401033215
15	0.2389986168
16	0.2377730585
17	0.2367656135
18	0.2359655169
19	0.2351402706
20	0.2346390843
21	0.234250216
22	0.2338507994
23	0.2335260225
24	0.2332659357
25	0.2328839772
26	0.2325849865
27	0.2324396332
28	0.2322878933
29	0.2320730943
30	0.231914923
31	0.2317676492
32	0.2316809829
33	0.2315378475
34	0.231434582
35	0.2313169101
36	0.2312400308
37	0.2311657315
38	0.2311045378
39	0.2310289809
40	0.2309601255
41	0.2308863028
42	0.2308241482
43	0.2307652057
44	0.2306952402
45	0.2306306101
46	0.2305846963
47	0.2305435451
48	0.230468784
49	0.230431829
50	0.2303857192
51	0.2303213322
52	0.2302579784
53	0.2302045039
54	0.2301703969
55	0.2301364627
56	0.2301012785
57	0.2300734593
58	0.2300425061
59	0.2300157586
60	0.2299574299
61	0.2299290371
62	0.2298981812
63	0.2298629404
64	0.2298533825
65	0.2298064776
66	0.2297205572
67	0.2296955625
68	0.2296772963
69	0.229651965
70	0.2296233618
71	0.2295996431
72	0.2295106595
73	0.229425803
74	0.2294055787
75	0.229376734
76	0.2293047152
77	0.2292876212
78	0.2292610436
79	0.2292261663
80	0.2292070962
81	0.2291727941
82	0.2291455863
83	0.2291321104
84	0.2291075973
85	0.2290901054
86	0.2290647298
87	0.2290465455
88	0.2290208837
89	0.2290017267
90	0.2289860984
91	0.2289721739
92	0.2289598369
93	0.2289429047
94	0.2289298238
95	0.228917263
96	0.2288864421
97	0.2288708359
98	0.2288566694
99	0.2288429213
100	0.2288303195
101	0.2288080278
102	0.2287802896
103	0.2287411428
104	0.2287140706
105	0.2286968835
106	0.2286568187
107	0.2286445484
108	0.2286213993
109	0.2286046581
110	0.2285404289
111	0.2285249414
112	0.2285060036
113	0.2284893878
114	0.228463674
115	0.2284495829
116	0.2284324153
117	0.228414015
118	0.2283969573
119	0.2283846672
120	0.2283642752
121	0.2283527284
122	0.2283224628
123	0.2283103734
124	0.2282884044
125	0.2282681615
126	0.2282432378
127	0.2282310153
128	0.2281933412
129	0.2281804304
130	0.2281493905
131	0.2281354573
132	0.2281066092
133	0.2280783543
134	0.228062787
135	0.2280489758
136	0.2280372633
137	0.2280190038
138	0.2279457971
139	0.2279297891
140	0.2278911036
141	0.2278699407
142	0.2278036454
143	0.2277891359
144	0.2277761537
145	0.2277544311
146	0.2277149121
147	0.2276949603
148	0.2276825846
149	0.2276598407
150	0.2276365548
151	0.2276170462
152	0.2275988929
153	0.2275809891
154	0.2275645226
155	0.2275496806
156	0.2275228197
157	0.2275065984
158	0.2274948388
159	0.2274711971
160	0.2274575355
161	0.2274446426
162	0.2274123986
163	0.2273997986
164	0.2273854616
165	0.2273702311
166	0.2273567724
167	0.2273428464
168	0.2273272337
169	0.2273145976
170	0.2273001346
171	0.2272600488
172	0.2272444898
173	0.2272284131
174	0.2272133402
175	0.2271999755
176	0.2271841137
177	0.2271676094
178	0.2271473792
179	0.2271361225
180	0.2271207517
181	0.2271070201
182	0.2270964918
183	0.2270790792
184	0.2270647191
185	0.227049528
186	0.2270364788
187	0.2270137337
188	0.2270008932
189	0.2269880479
190	0.2269781677
191	0.226961144
192	0.2269526078
193	0.2269397117
194	0.2269277302
195	0.2269149887
196	0.2269035659
197	0.2268865782
198	0.2268718996
199	0.2268630498
