iter	Passed	Remaining
0	230	45911
1	304	30108
2	356	23382
3	409	20044
4	463	18091
5	517	16737
6	572	15795
7	625	15016
8	681	14453
9	735	13975
10	789	13557
11	841	13187
12	896	12898
13	951	12639
14	1018	12558
15	1072	12332
16	1126	12124
17	1182	11952
18	1234	11763
19	1286	11579
20	1340	11426
21	1392	11269
22	1442	11101
23	1494	10956
24	1547	10829
25	1600	10712
26	1654	10599
27	1709	10500
28	1765	10407
29	1817	10296
30	1872	10208
31	1925	10106
32	1984	10042
33	2041	9965
34	2094	9875
35	2147	9784
36	2198	9685
37	2253	9608
38	2304	9514
39	2352	9410
40	2402	9318
41	2454	9234
42	2512	9173
43	2566	9098
44	2614	9004
45	2667	8931
46	2724	8870
47	2777	8794
48	2827	8712
49	2876	8630
50	2927	8551
51	2985	8497
52	3047	8452
53	3096	8372
54	3147	8299
55	3203	8236
56	3251	8156
57	3297	8073
58	3350	8006
59	3397	7926
60	3448	7857
61	3499	7789
62	3552	7724
63	3604	7658
64	3647	7575
65	3700	7513
66	3754	7452
67	3805	7387
68	3862	7332
69	3914	7268
70	3964	7203
71	4026	7158
72	4081	7100
73	4134	7039
74	4186	6977
75	4237	6914
76	4286	6846
77	4336	6782
78	4388	6721
79	4438	6657
80	4489	6596
81	4543	6537
82	4595	6478
83	4644	6413
84	4697	6355
85	4751	6299
86	4801	6236
87	4857	6181
88	4911	6125
89	4968	6072
90	5021	6015
91	5075	5958
92	5122	5893
93	5169	5829
94	5218	5767
95	5268	5707
96	5320	5649
97	5372	5591
98	5421	5531
99	5469	5469
100	5518	5409
101	5570	5351
102	5621	5294
103	5675	5238
104	5727	5182
105	5783	5128
106	5833	5070
107	5887	5015
108	5942	4961
109	5997	4907
110	6049	4850
111	6100	4793
112	6151	4735
113	6198	4676
114	6248	4618
115	6302	4563
116	6352	4506
117	6406	4451
118	6456	4395
119	6502	4334
120	6554	4279
121	6603	4221
122	6655	4166
123	6706	4110
124	6759	4055
125	6815	4002
126	6869	3948
127	6919	3892
128	6968	3835
129	7021	3780
130	7075	3726
131	7125	3670
132	7177	3615
133	7233	3562
134	7283	3507
135	7333	3451
136	7387	3397
137	7433	3339
138	7486	3285
139	7532	3228
140	7586	3174
141	7635	3118
142	7690	3065
143	7745	3012
144	7796	2957
145	7851	2904
146	7904	2849
147	7955	2795
148	8008	2741
149	8059	2686
150	8111	2632
151	8167	2579
152	8220	2525
153	8273	2471
154	8323	2416
155	8374	2362
156	8422	2306
157	8465	2250
158	8516	2195
159	8570	2142
160	8621	2088
161	8670	2033
162	8722	1979
163	8772	1925
164	8824	1871
165	8876	1818
166	8925	1763
167	8971	1708
168	9029	1656
169	9073	1601
170	9127	1547
171	9178	1494
172	9232	1440
173	9288	1387
174	9337	1333
175	9392	1280
176	9443	1227
177	9495	1173
178	9543	1119
179	9595	1066
180	9646	1012
181	9696	958
182	9750	905
183	9803	852
184	9859	799
185	9912	746
186	9964	692
187	10009	638
188	10060	585
189	10109	532
190	10157	478
191	10212	425
192	10262	372
193	10313	318
194	10363	265
195	10414	212
196	10463	159
197	10512	106
198	10563	53
199	10611	0
